Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,MODO,464436,5175969,7/9/2023,11,14,Survive,0,2,2
2023,BWTE,464972,5176220,5/30/2023,11,2,Failed,0,13,13
2023,CCSP,464905,5175987,5/31/2023,6,1,Failed,1,1,1
2023,CCSP,465069,5176710,5/22/2023,0,3,Failed,0,1,1
2023,BWTE,464632,5177020,6/10/2023,21,2,Survive,0,11,11
2023,CCSP,464430,5176137,6/5/2023,14,8,Survive,0,3,4
2023,CCSP,464771,5175912,5/31/2023,-1,4,Failed,0,4,3
2023,CCSP,465461,5176069,5/29/2023,-1,11,Failed,1,4,3
2023,CCSP,465482,5176116,5/25/2023,-1,15,Failed,0,4,3
2023,AMCO,464742,5176535,6/9/2023,18,4,Survive,0,12,12
2023,YHBL,464711,5176563,6/9/2023,16,4,Survive,0,2,2
2023,YHBL,464699,5176569,6/9/2023,18,4,Survive,0,3,3
2023,AMCO,464644,5176611,6/9/2023,19,4,Survive,0,10,10
2023,PBGR,464709,5176608,6/9/2023,19,4,Survive,0,7,7
2023,CCSP,464707,5175837,6/1/2023,6,6,Failed,0,4,4
2023,SORA,464883,5176108,5/31/2023,NA,7,Failed,0,6,6
2023,CCSP,464609,5175736,6/1/2023,7,14,Survive,1,3,3
2023,BWTE,465204,5175887,5/30/2023,6,8,Failed,0,11,11
2023,BRBL,465670,5176033,5/25/2023,4,21,Survive,1,1,3
2023,BWTE,465706,5176677,5/24/2023,-4,22,Failed,0,11,7
2023,PBGR,465463,5176934,6/14/2023,23,0,Survive,0,3,3
2023,RWBL,465209,5176859,5/22/2023,-1,24,Failed,1,3,2
2023,AMCO,465227,5176890,6/14/2023,22,0,Failed,0,3,3
2023,YHBL,465213,5176908,5/22/2023,-1,24,Survive,0,4,3
2023,CCSP,464457,5175820,6/1/2023,6,3,Failed,2,2,2
2023,NSHO,464973,5176582,6/5/2023,2,24,Survive,0,10,10
2023,YHBL,465224,5176916,6/18/2023,NA,2,Failed,0,3,3
2023,RWBL,464635,5176063,6/21/2023,4,18,Survive,0,3,3
2023,CCSP,464255,5176939,6/9/2023,14,7,Survive,0,2,4
2023,AMCO,465589,5176963,6/14/2023,18,4,Survive,0,9,9
2023,BWTE,465043,5176793,6/13/2023,18,5,Survive,0,10,10
2023,RWBL,465153,5177027,6/13/2023,9,10,Survive,4,3,3
2023,GADW,464949,5176464,6/12/2023,6,7,Failed,0,7,7
2023,MODO,464222,5176065,6/2/2023,1,8,Failed,0,1,2
2023,RWBL,465230,5176437,6/15/2023,4,3,Failed,0,1,3
2023,BWTE,465420,5176455,6/15/2023,-1,5,Failed,0,10,9
2023,CCSP,465396,5176437,6/15/2023,4,17,Survive,0,3,4
2023,SORA,465715,5177045,6/14/2023,-2,9,Failed,0,13,11
2023,CCSP,465638,5176192,5/25/2023,5,15,Survive,0,4,4
2023,NSHO,465361,5176105,5/29/2023,16,11,Failed,0,10,10
2023,BWTE,464314,5175688,6/1/2023,16,3,Failed,0,12,12
2023,MALL,465604,5176265,5/25/2023,18,10,Failed,0,10,10
2023,CCSP,464799,5175926,7/9/2023,7,16,Survive,0,2,4
2023,WEME,465044,5175661,7/8/2023,9,16,Survive,0,3,5
2023,EAKI,464977,5175999,7/8/2023,-4,3,Failed,0,1,1
2023,CCSP,465627,5176311,7/7/2023,7,15,Survive,1,2,4
2023,CCSP,464385,5175908,7/9/2023,8,8,Failed,0,4,4
2023,CCSP,464747,5175761,7/9/2023,9,13,Failed,2,1,3
2023,CCSP,464985,5175860,7/8/2023,9,14,Survive,0,2,4
2023,RWBL,465067,5176304,7/7/2023,6,15,Survive,0,1,4
2023,SORA,465614,5176975,7/2/2023,NA,3,Failed,0,6,6
2023,WEME,465106,5176657,6/26/2023,-1,12,Failed,5,4,3
2023,EAKI,465423,5177176,6/14/2023,-4,32,Survive,0,4,0
2023,CCSP,465252,5176014,7/8/2023,14,8,Failed,1,1,2
2023,AMCO,464891,5177145,6/12/2023,-1,10,Failed,0,10,9
2023,CCSP,464232,5176941,6/9/2023,9,10,Failed,0,3,4
2023,AMCO,464635,5176070,6/1/2023,NA,6,Failed,0,6,6
2023,RWBL,464886,5176109,5/31/2023,2,15,Failed,1,3,3
2023,BWTE,465483,5176163,5/25/2023,-5,15,Failed,0,8,3
2023,MALL,464248,5176130,6/6/2023,15,7,Failed,0,9,9
2023,STGR,464211,5176064,6/2/2023,2,11,Failed,0,16,16
2023,BWTE,465274,5176041,5/29/2023,2,12,Failed,0,9,9
2023,CCSP,465090,5176958,6/13/2023,12,7,Failed,2,1,1
