Year,id,Spec,FirstFound,LastPresent,LastChecked,Fate,Freq,Expos,AgeFound,AgeDay1,Stage,Nestling,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,cTreat,pTreat,cDoD,pDoD,grazed,grazep,start,end
2023,BRBL04656785176013,BRBL,27,31,34,1,1,7,12,-14,Nestling,1,0,0,0,4,4,NA,0,0,24.836601307189543,9.803921568627452,9.803921568627452,55.55555555555556,0,5,850,4.25,6,SE,0,39,0,35.2,0,0,NA,NA
2024,BRBL04643575176083,BRBL,9,12,15,1,1,6,5,-3,Incubating,0,3,3,1,2,2,NA,13.718411552346572,0,35.37906137184115,0,5.415162454873646,22.743682310469314,22.743682310469314,20,810,6.25,11,SW,68,0,NA,0,NA,NA,NA,NA
2024,BRBL04646905175714,BRBL,33,39,39,0,1,6,20,-12,Nestling,1,0,0,0,2,2,NA,15.079365079365079,25,38.88888888888889,0,5.952380952380952,0,15.079365079365079,40,855,6.25,9,SW,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04648675175703,BRBL,32,55,55,0,1,23,2,-29,Nestling,1,2,3,1,4,1,NA,29.929577464788732,0,34.50704225352113,0,13.380281690140844,0,22.183098591549296,70,740,5.5,9,SW,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04648845176425,BRBL,35,38,41,1,1,6,2,-32,Incubating,0,0,1,1,3,1,NA,13.10344827586207,21.72413793103448,33.793103448275865,0,13.10344827586207,13.10344827586207,5.172413793103448,5,1030,7.75,12,SW,49,68,NA,NA,NA,NA,NA,NA
2024,BRBL04648905176456,BRBL,36,41,44,1,1,8,-4,-39,Laying,0,0,0,0,0,1,NA,18.529411764705884,11.176470588235295,28.823529411764703,0,18.529411764705884,4.411764705882353,18.529411764705884,37,1450,7.25,14,NW,0,39,0,NA,0,0,NA,NA
2024,BRBL04649035176426,BRBL,35,35,38,1,1,3,2,-32,Incubating,0,3,4,1,3,3,NA,0,38.46153846153847,44.34389140271493,0,17.194570135746606,0,0,45,1200,6.5,12,SE,49,68,NA,NA,NA,NA,NA,NA
2024,BRBL04649095176381,BRBL,7,7,9,1,1,2,5,-1,Incubating,0,1,1,1,1,1,NA,13.240418118466899,21.951219512195124,34.146341463414636,0,29.61672473867596,1.0452961672473868,0,13,1090,8,10,SW,0,39,0,NA,0,0,NA,NA
2024,BRBL04649145176443,BRBL,30,36,38,1,1,8,-1,-30,Incubating,0,0,3,1,1,2,NA,7.936507936507936,7.936507936507936,51.85185185185185,0,20.105820105820104,7.936507936507936,4.232804232804233,50,1070,15.5,13,NW,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04649145176568,BRBL,18,41,41,0,1,23,2,-15,Nestling,1,3,3,1,4,4,NA,5.952380952380952,15.079365079365079,38.88888888888889,0,25,0,15.079365079365079,50,1320,8.25,16,NW,49,68,NA,NA,NA,NA,NA,NA
